split,original_image_path,top_view_path,image_name,label_path,true_count,top_view_success,used_fallback,message,top_view_quality,quality_reason,non_black_ratio,cloth_area_ratio,aspect_ratio,aspect_score,centrality_score,cloth_bbox_x,cloth_bbox_y,cloth_bbox_w,cloth_bbox_h,top_view_reliable
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/0_png.rf.e35063c144cfd241454863d624cf01d3.txt,8,True,False,already exists,0.4847515284800758,ok,0.6009888672974593,0.13743575540744238,16.828125,0.0,0.8019359642591214,0,50,1077,64,False
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.txt,13,True,False,already exists,0.9661245463795702,ok,0.8526426701881182,0.4448974205894214,2.2946127946127945,0.8526936026936027,0.9970299914382945,49,48,1363,594,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/102_png.rf.e106f609270b206b301a09b5c5473e95.txt,10,True,False,already exists,0.9653781726868214,ok,0.8397592093936702,0.4433928349823997,2.292436974789916,0.8537815126050421,0.9984051752707553,50,50,1364,595,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.txt,13,True,False,already exists,0.9658266170813047,ok,0.8304769001490313,0.4436618330060953,2.292436974789916,0.8537815126050421,1.0,50,49,1364,595,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/104_png.rf.759632d10d5cf129aab09f0968304a4e.txt,7,True,False,already exists,0.9999999999999999,ok,0.9994625,0.9891828125,2.0,1.0,1.0,0,0,1600,800,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.txt,16,True,False,already exists,0.8923987935028515,ok,0.8990716679026425,0.4540564934430963,3.0233463035019454,0.4883268482490273,0.9648894923536409,48,38,1554,514,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.txt,16,True,False,already exists,0.9940707293871842,ok,0.99994921875,0.8426265625,2.0,1.0,0.9604715292478953,0,4,1548,774,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.txt,10,True,False,already exists,0.9653543307086614,ok,0.989501312335958,0.9148668916385452,1.6535433070866141,0.8267716535433071,1.0,0,0,210,127,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.txt,12,True,False,already exists,0.99125,ok,0.99968515625,0.82571953125,1.95,0.975,0.975,0,0,1560,800,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10t_png.rf.97c979f963b5a914b50a065e59ef3873.txt,12,True,False,already exists,0.9909626469746811,ok,0.9989902785093514,0.8774151669156514,1.9112709832134294,0.9556354916067147,0.9989036576889213,49,46,2391,1251,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,110_png.rf.9a38b6057e543f83b58aa59b9748688b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/110_png.rf.9a38b6057e543f83b58aa59b9748688b.txt,2,True,False,already exists,0.9864852612688741,ok,0.9999671875,0.83688125,2.0862533692722374,0.9568733153638813,0.9674039879739867,0,30,1548,742,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,111_png.rf.573bdb8149674c4469ce560c651c6a48.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/111_png.rf.573bdb8149674c4469ce560c651c6a48.txt,16,True,False,already exists,0.9884608177579159,ok,0.99978359375,0.82804296875,2.0237467018469655,0.9881266490765173,0.9389032529507503,8,0,1534,758,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,112_png.rf.9b08015f172aafbe456ed9d92cca77fe.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/112_png.rf.9b08015f172aafbe456ed9d92cca77fe.txt,16,True,False,already exists,0.9875248749717838,ok,0.9997345230633089,0.7969746690756241,2.122480620155039,0.9387596899224806,0.9984862465819184,49,48,1369,645,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/113_png.rf.5843d20115f51d7d26f2cf52734504d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/113_png.rf.5843d20115f51d7d26f2cf52734504d3.jpg,113_png.rf.5843d20115f51d7d26f2cf52734504d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/113_png.rf.5843d20115f51d7d26f2cf52734504d3.txt,15,True,False,already exists,0.9907555684240561,ok,0.99786953125,0.8210703125,2.0195058517555267,0.9902470741222367,0.9513743573307252,0,0,1553,769,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,114_png.rf.98b2144c25b9f48816abd7edb00f365c.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/114_png.rf.98b2144c25b9f48816abd7edb00f365c.txt,16,True,False,already exists,0.9875860007318722,ok,0.99980703125,0.83122578125,2.0671140939597317,0.9664429530201342,0.9619827341856362,0,30,1540,745,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/115_png.rf.ed51d53dd5c384b1f26a2b6ece52ad69.txt,11,True,False,already exists,0.9878637397142358,ok,0.99996015625,0.839221484375,2.072289156626506,0.963855421686747,0.967284369179244,0,25,1548,747,True
