split,original_image_path,top_view_path,image_name,label_path,true_count,top_view_success,used_fallback,message,top_view_quality,quality_reason,non_black_ratio,cloth_area_ratio,aspect_ratio,same_size_as_original,aspect_score,centrality_score,cloth_bbox_width_ratio,cloth_bbox_height_ratio,cloth_bbox_x,cloth_bbox_y,cloth_bbox_w,cloth_bbox_h,top_view_reliable
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,0_png.rf.e35063c144cfd241454863d624cf01d3.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/0_png.rf.e35063c144cfd241454863d624cf01d3.txt,8,True,False,already exists,0.0,cloth_area_too_small,0.6009888672974593,0.13743575540744238,16.828125,False,,,,,,,,,False
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/101_png.rf.ae5f060fc5ed9e0adfaf2ffa7d786c67.txt,13,True,False,already exists,0.9476175999410681,ok,0.8526426701881182,0.4448974205894214,2.2946127946127945,False,0.7544893378226711,0.9970299914382945,0.9322845417236663,0.8583815028901735,49.0,48.0,1363.0,594.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,102_png.rf.e106f609270b206b301a09b5c5473e95.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/102_png.rf.e106f609270b206b301a09b5c5473e95.txt,10,True,False,already exists,0.9473506332602937,ok,0.8397592093936702,0.4433928349823997,2.292436974789916,False,0.7563025210084034,0.9984051752707553,0.9323308270676691,0.8573487031700289,50.0,50.0,1364.0,595.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/103_png.rf.8837c4ba6e91c59a634fc8cd30cd204b.txt,13,True,False,already exists,0.947739300316178,ok,0.8304769001490313,0.4436618330060953,2.292436974789916,False,0.7563025210084034,1.0,0.9316939890710383,0.8585858585858586,50.0,49.0,1364.0,595.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,104_png.rf.759632d10d5cf129aab09f0968304a4e.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/104_png.rf.759632d10d5cf129aab09f0968304a4e.txt,7,True,False,already exists,1.0,ok,0.9994625,0.9891828125,2.0,False,1.0,1.0,1.0,1.0,0.0,0.0,1600.0,800.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/108_png.rf.7bd2f9160e38391af93d2d6ebaaf966a.txt,16,True,False,already exists,0.0,bad_table_aspect_ratio,,0.4540564934430963,3.0233463035019454,False,,,,,,,,,False
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/109_png.rf.0d8042ff3ef7a93feb5a18be8a42ca80.txt,16,True,False,already exists,0.9940707293871842,ok,0.99994921875,0.8426265625,2.0,False,1.0,0.9604715292478953,0.9675,0.9675,0.0,4.0,1548.0,774.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10_png.rf.9b8c9cafc4edaba51d6fc14bc4ef7186.txt,10,True,False,already exists,0.942257217847769,ok,0.989501312335958,0.9148668916385452,1.6535433070866141,False,0.7112860892388451,1.0,1.0,1.0,0.0,0.0,210.0,127.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,10a_png.rf.bdc9984ba169594ea32b012098ad10dd.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10a_png.rf.bdc9984ba169594ea32b012098ad10dd.txt,12,True,False,already exists,0.9879166666666666,ok,0.99968515625,0.82571953125,1.95,False,0.9583333333333333,0.975,0.975,1.0,0.0,0.0,1560.0,800.0,True
train,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/images/10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/topview_data/train/images/10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,10t_png.rf.97c979f963b5a914b50a065e59ef3873.jpg,/home/fsilva/Desktop/MIA/1ano/2sem/VC/project_part2/task3/yolo_data/train/labels/10t_png.rf.97c979f963b5a914b50a065e59ef3873.txt,12,True,False,already exists,0.9850473791889098,ok,0.9989902785093514,0.8774151669156514,1.9112709832134294,False,0.9260591526778578,0.9989036576889213,0.9613992762364294,0.9321907600596125,49.0,46.0,2391.0,1251.0,True
